,username,adschool,result,degree,major,TF,GRE,grad_major,grad_school,grad_gpa,grad_rank,background,year,ap_time,country
52,Firework,UCLA,Offer,PhD,CS,105(23),V152+Q166+3.5,CS , ,  , 本科Top15 211,Some 1-tier papers (一作一篇) + strong LORs,15Fall,2014-12-01,美国
53,slxu,UCLA,Offer,混合,CS,107,319,CS , USTC,  3.3/4/3, 本科：北大，清华，科大，中科院，特色学校牛专业,2篇conference，一篇journal，另有一篇journal在审。2个牛腿，都是中文大学的教授,15Fall,2014-11-30,美国
54,poiiopppooii,UW-Seattle,Offer,PhD,CS,,,, ,  , 本科Top15 211,,15Fall,2014-12-15,美国
55,m4reiiy,JHU,Offer,PhD,CS,,,, ,  ,,,15Fall,2014-12-01,美国
56,28407,University of Michigan,Offer,PhD,CS,,,ECE&CS , 上海交大，University of Michigan,  , 本科：南大，浙大，复旦，上交,,15Fall,2014-12-15,美国
57,iPhD,UPenn,AD无奖,MS,CS,R30+L25+S23+W29,550(156)+800(166)+3.5,Chem , NJU,  4.55/5.0   Rank, 1/27,,15Fall,2014-11-15,美国
58,muybienw,USC,AD无奖,MS,CS,114(27),330+3.5,CS , ZJU,  3.65, 本科：南大，浙大，复旦，上交,只有在学校做的项目，无科研无牛腿,15Fall,2014-11-24,美国
59,wangxiaohuigre,usc 雪城,AD无奖,MS,CS,101（23）,331（3.0）,软件工程 , 西安电子科技大学,  88.9 gpa忘了 8/400, 本科其他211,一点实验室经历 一些没用的实习 优秀学生之流,15Fall,2014-10-15,美国
60,firefighter,NCSU,Rej,PhD,CS,R24+L29+S17+W28=98,V147+Q168+AW3.5=315,软件工程 , 电子科大,  3.98/4, 本科Top30 211,有几篇水文,15Fall,2014-12-15,美国
61,kobezhaowei,NCSU,Rej,PhD,CS,100(24),1383 = 580 800 3,CS , 某985,  3.52, 本科Top15 211,,15Fall,2014-12-13,美国
62,lutianhan08,North Carolina State University,Rej,PhD,CS,"109, R29+L30+S23+W27","327, V158+Q169+AW3.0",CS , NJU,"  84/100, 40/170", 本科：南大，浙大，复旦，上交,无论文，无牛推，硬申PhD,15Fall,2014-12-13,美国
63,dolphin_wby,CMU ebiz,AD无奖,MS,CS,105,327+3,EE , ,  89.9, 本科Top30 211,,15Fall,2014-12-01,美国
64,eonian,USC,AD无奖,MS,CS,109,162+170+3.5,EE , ,  3.7/4, 本科：南大，浙大，复旦，上交,水实验室无牛腿无实习,15Fall,2014-12-03,美国
65,wy348202265,UCSD,AD无奖,MS,CS,,,CS , ZJU,  3.94/4, 本科：南大，浙大，复旦，上交,,15Fall,2014-12-15,美国
66,e23lzh,UCSD,AD无奖,MS,CS,,,, Tongji,  , 本科Top30 211,,15Fall,2014-12-09,美国
67,wangyuesong2,Ebiz@cmu,AD无奖,MS,CS,109,326+3,Se , Tju,  4.58/5, 本科Top30 211,美国交换半年，在erp公司实习，剩下基本纯水,15Fall,2014-12-08,美国
68,rydgelee,CMU,AD无奖,MS,CS,103,320,CS , SHU,  88/100, 本科其他211,微软和创业公司水实习/Cornell交换经历/Cornell推荐信,15Fall,2014-12-07,美国
69,sdudxf,eBiz@cmu,AD无奖,MS,CS,,,, ,  , 本科Top30 211,,15Fall,2014-11-28,美国
70,Lycn_Cross,ebiz@CMU,AD无奖,MS,CS,L：27    R：29  W：24  S：24   total：104,156+170+3,EE , SCUT,  3.55/4      13/51, 本科Top30 211,无牛推,15Fall,2014-12-07,美国
71,BooOnnies,CMU,AD无奖,MS,CS,,,, Whu,  , 本科Top15 211,,15Fall,2014-12-08,美国
72,linaohan1993120,CMU,AD无奖,MS,CS,110 (s24),159+168+3.0,CS , BUPT,  GPA 89 + 2/300, 本科Top15 211,CMU HCI 暑期实习，Microsoft Global Program Manager 弱推,15Fall,2014-12-01,美国
73,BillyLoc,CS@CMU,AD无奖,MS,CS,,V159 Q168 W5.0,经济主修 统计辅修 , 美本top 50,  3.9/4.0, 海本,,15Fall,2014-11-01,美国
74,mm1017,CMU,AD无奖,MS,CS,112（S 28）,155+170+3.0,信息管理与信息系统&经济 , ,  3.5, 本科：北大，清华，科大，中科院，特色学校牛专业,,15Fall,2014-12-07,美国
75,hadoopG,CMU,AD无奖,MS,CS,,,网工 , bupt,  , 本科：北大，清华，科大，中科院，特色学校牛专业,,15Fall,11.25,美国
76,eonian,CMU,AD无奖,MS,CS,109,162+170+3.5,EE , ,  3.7/4, 本科：南大，浙大，复旦，上交,水实验室无牛腿无实习,15Fall,2014-12-03,美国
77,lalatiantian,CMU ebiz,AD无奖,MS,CS,,,, ,  , 本科Top30 211,,15Fall,2014-11-14,美国
78,liqingfd,Ebiz@CMU,AD无奖,MS,CS,,,, ,  ,,,15Fall,2014-12-07,美国
79,Paulnet,CMU,AD无奖,MS,CS,103 s22(还报了s24的101),155+170 AW3,多媒体与网络 , SCNU,  89.2/100 1/46, 本科其他211,,15Fall,2014-12-04,美国
80,honiess,eBiz@CMU,AD无奖,MS,CS,27+30+22+24,157+170+3.0,CS , BIT,  87.1 RANK,18,无牛腿~,15Fall,2014-12-01,美国
81,gqjapply,ebiz@CMU,AD无奖,MS,CS,30+26+22+28=106,154+170+3.5,Information Security , FDU,  3.24/4.00  排名中等, 本科：南大，浙大，复旦，上交,,15Fall,2014-11-26,美国
82,ElenaCHAO,ebiz@CMU,AD无奖,MS,CS,104,324,, ,  , 本科Top15 211,,15Fall,2014-12-08,美国
83,cadywsq,Ebiz@CMU,AD无奖,MS,CS,108,154+170+4.0,Marketing , SJTU,  3.3/4.3, 本科：南大，浙大，复旦，上交,世界500强美企亚太区IS总监,15Fall,2014-12-03,美国
84,aimar_07,NJIT,AD无奖,MS,CS,,,, ,  ,,,15Fall,2014-12-10,美国
85,Emerson_Ding,CS@NJIT,AD无奖,MS,CS,107(22),153+165+3.0,CS , ,  82%, 本科非211,sci三作一篇，ei期刊二作一篇，ei会议一作两篇,15Fall,2014-12-07,美国
86,clfhaha1234,UCSD,AD无奖,MS,CS,,,通信工程 , UESTC,  , 本科Top15 211,,15Fall,2015-01-24,美国
87,CescTom,eBiz@CMU,Rej,MS,CS,,,CS , NJU,  , 本科：南大，浙大，复旦，上交,,15Fall,2014-12-08,美国
88,fanzy,ebiz@cmu,Rej,MS,CS,,,SE , SCUT,  , 本科Top30 211,,15Fall,2014-12-01,美国
89,nickyzhi,ebiz@cmu,Rej,MS,CS,,,Info Engin. , BUPT,  84/100, 本科其他211,,15Fall,2014-12-08,美国
90,372284362,eBiz@CMU,Rej,MS,CS,28+24+23+27=102,147+170+3.5 / 150 + 168 + 3.5,ECE , UM-SJTU JI,  3.75/4.0 Rank 3, 本科：南大，浙大，复旦，上交,,15Fall,2014-11-26,美国
91,welzo,CMU,Rej,MS,CS,,,, ,  ,,,15Fall,2014-12-07,美国
92,南方的狼,USC,Rej,MS,CS,,,信息与通信工程 , zju,  88.65/100, 本科：南大，浙大，复旦，上交,,15Fall,2014-12-13,美国
93,gynirvana,USC,Rej,MS,CS,108（23）,321+3.5,电子信息 , ,  89/100, 本科Top15 211,,15Fall,2014-12-31,美国
94,eonian,USC,Rej,MS,CS,,,EE , ,  3.7/4, 本科：南大，浙大，复旦，上交,,15Fall,2014-12-03,美国
95,azbycxdz,EPFL,Rej,PhD,CS,103  22,151 165 4.0,Physics , SDU,  86.16, 本科Top30 211,1作1篇，2作1篇，3作1篇，研究经历3年,15Fall,2015-01-14,欧洲
96,Pandaman,Virginia Tech,Offer,PhD,CS,,,, ,  , 本科Top30 211,,15Fall,2015-01-13,美国
97,markqzheng,Virginia Tech,Offer,PhD,CS,96(20),324+3.0,CS , ,  3.3, 本科Top15 211,2篇1作，1篇3作，1年半intel实习,15Fall,2015-01-03,美国
98,gc1993114,USC,AD无奖,MS,CS,109(23),154+169=323(3),信息安全 , SJTU,  86.7/100, 本科：南大，浙大，复旦，上交,monash(Australia)学期交换，水科研一封推荐信。sjtu科研一封推荐信，上课一封。,15Fall,2014-12-04,美国
99,miss_snow,USC,AD无奖,MS,CS,100,317+3.5,软件工程 , ,  89.5, 本科Top30 211,有科研无paper，三四个比赛,15Fall,2014-12-08,美国
100,tong-1324,USC,AD无奖,MS,CS,100(22),156+170+3,CS , SJTU,  85.6/100, 本科：南大，浙大，复旦，上交,无科研无牛腿,15Fall,2015-01-09,美国
101,sdudxf,USC,AD无奖,MS,CS,,,SE , SDU,  88, 本科Top15 211,,15Fall,2014-12-02,美国
102,zl9394,USC,AD无奖,MS,CS,29 28 24 26 = 107,158 170 328 3.5,CS , BUPT,"  88/100,  top 5%", 本科Top30 211,usc不看lor吧,15Fall,2014-12-01,美国
103,wbcustc,USC,AD无奖,MS,CS,108(22),157+167 3.0,CS , USTC,  3.44/4 (25%), 本科：北大，清华，科大，中科院，特色学校牛专业,有实习，无牛推,15Fall,2014-11-10,美国
104,huiyuning,UCSD,AD无奖,MS,CS,24+26+22+30=102,151+167+3.0,网络工程 , BUPT,"  88/100, 5/150", 本科Top15 211,正在UPM交流，方向很近,15Fall,2014-11-27,美国
105,collwe,UCF,AD无奖,PhD,CS,WAIVED,490+800+3,Optics , ,  3.1, 本科其他211,三个美国教授（两个搞CV，一个搞ML）,15Fall,2015-01-12,美国
106,leoooodu,CMU,AD无奖,MS,CS,R30 L24 S26 W28 Total 108,GMAT 710 Q49 V37 AWA 5,信息管理与信息系统 , 东北财经,  3.57/4 排名3, 本科非211,,15Fall,2014-12-08,美国
107,dydyhxt,UCSD,AD无奖,MS,CS,,,, ZJU,  , 本科：南大，浙大，复旦，上交,,15Fall,2014-12-12,美国
108,LiamZhu,UCSD,AD无奖,MS,CS,,,, PKU,  , 本科：北大，清华，科大，中科院，特色学校牛专业,,15Fall,2014-11-24,美国
109,活性氧,UCSD,AD无奖,MS,CS,106(23),154 + 167 + 3.0,SE , SJTU,  3.68 10%, 本科：南大，浙大，复旦，上交,,15Fall,2014-12-13,美国
110,霍尔顿,UCSD,AD无奖,MS,CS,105,322+3,信息与通信工程 , ZJU,  , 本科：南大，浙大，复旦，上交,暑期Umich实习 AP 推荐,15Fall,2014-12-12,美国
111,Dayflower,UTexas-Austin,Offer,PhD,CS,103 (S24),V156 Q170 AW3.5,EE , SJTU,  Top 5%, 本科：南大，浙大，复旦，上交,一篇INFOCOM,15Fall,2014-12-07,美国
112,超人不会飞,UT Austin,Offer,PhD,CS,,,EE , 上交,  , 本科：南大，浙大，复旦，上交,,15Fall,2014-12-07,美国
113,blue_shut_grab,UT Austin,Offer,PhD,CS,99(24),323+3.0,微电子 , SJTU,  , 本科：南大，浙大，复旦，上交,,15Fall,12.7,美国
114,bersserker,USC,AD无奖,MS,CS,102(S20+L29+R25+W28),318(148+170)+3.0 316(152+164)+3.5,CS , USTC,  3.5/4.3, 本科：北大，清华，科大，中科院，特色学校牛专业,无牛推无实习 上课拿分数……,15Fall,2014-12-21,美国
115,290219306,Stevens Institute of Technology,AD无奖,MS,CS,29+27+22+25 (103),153+168+3.0 (321),金融学 , 河南财经政法大学,  4.0/5.0, 本科非211,美国教授推荐,15Fall,2015-01-08,美国
116,infinity730,IUB,Offer,PhD,CS,92(19),144+168+3.0,CS , BUAA,  3.5(北航算法), 本科Top15 211,,15Fall,2014-12-01,美国
117,dreamt,UCSD,Offer,PhD,CS,,,, ,  , 本科：北大，清华，科大，中科院，特色学校牛专业,1篇一作，1封牛推,15Fall,2014-12-14,美国
118,rsun,CMU,AD无奖,MS,CS,,,, ,  ,,,15Fall,2015-01-29,美国
119,sam2015,CMU BIC,AD无奖,MS,CS,30+25+22+24=101,152+168+3.5,Automation , BJTU,  90.3/100, 本科Top30 211,无,15Fall,2015-01-06,美国
120,AndyLiu0429,NEU,AD无奖,MS,CS,108(22),330+3.0,CHEM , FDU,  3.44, 本科：南大，浙大，复旦，上交,一份Python开发实习，一份NLP研究工作（GAP一年）,15Fall,2014-12-16,美国
121,坑仔,NEU,AD无奖,MS,CS,108,160+162+3,SE , ,  86, 本科Top30 211,,15Fall,01.01,美国
122,披着马甲的菠菜,NEU,AD无奖,MS,CS,101(22),318,CS , ,  86.8, 本科Top15 211,水论文,15Fall,2014-12-27,美国
123,omegaga,UCSD,AD无奖,MS,CS,102(S24),153+169+3.5,计算机 , 中山大学,  3.8/4, 本科Top15 211,MSRA实习，老板（UCSD校友）的RL; 跟Harvard教授有合作项目; 若干国际/国内奖,15Fall,2014-12-14,美国
124,lyzstc,UCSD,AD无奖,MS,CS,103(22),153+170+3.5,MIS , ,  3.7/4, 本科：北大，清华，科大，中科院，特色学校牛专业,CMU Summer教授一封，学校科研老师两封，美赛F奖，无Paper,15Fall,2014-12-15,美国
125,静月流光,UCSD,AD无奖,MS,CS,106(S24),323(154+169)+3,infoSec , sjtu,  86.7, 本科：南大，浙大，复旦，上交,一学期ntu singapore交换，半年软件外企实习，均水,15Fall,2014-12-14,美国
126,Kevinbtc,UCSD,AD无奖,MS,CS,,,, ,  ,,,15Fall,2014-12-14,美国
127,lmstc16lmstc16,CS@UCSD,AD无奖,MS,CS,101（22）,153+165+3,自动化 , Buaa,  86/100, 本科Top15 211,ei一作，sci二作*2（完全酱油遇上好导师…）,15Fall,2014-12-07,美国
128,linaohan1993120,UCSD,AD无奖,MS,CS,110(S 24),159+168+3.0,CS , BUPT,"  89/100, RANKING 2/302", 本科Top30 211,CMU HCII AP 推荐信,15Fall,2014-12-09,美国
129,LumiG,UCSD,AD无奖,MS,CS,105,152+168+3。0,CS , ,  3.64/4.0, 本科：南大，浙大，复旦，上交,,15Fall,2014-11-30,美国
130,hadoopG,SIT,AD无奖,MS,CS,,,Network Engineering , BUPT,  3.0/ 80, 本科：北大，清华，科大，中科院，特色学校牛专业,,15Fall,2014-12-29,美国
131,singku,SIT,AD无奖,MS,CS,92(22),149+162+3,计算机科学与技术 , 武汉理工大学,  3.32/4, 本科Top30 211,四年工作经验,15Fall,2015-01-09,美国
132,sillyron,SIT,Rej,MS,CS,,,, ,  , 本科Top30 211,,15Fall,2015-01-05,美国
133,Tchief,UW-Madison,Offer,PhD,CS,100,154+170+3.5,, ,  , 本科：北大，清华，科大，中科院，特色学校牛专业,无论文无牛推无套磁,15Fall,2014-12-05,美国
134,罹年,Wisconsin-Madison,Offer,PhD,CS,28+29+23+29 = 109,156+170+4,软件学院 , 南京大学,  4.56/5 rank1, 本科：南大，浙大，复旦，上交,,15Fall,2014-12-10,美国
135,leyichm,CS@Upenn,Offer,PhD,CS,,,自动化 , THU,  , 本科：北大，清华，科大，中科院，特色学校牛专业,,15Fall,2015-12-15,美国
136,markqzheng,University of Utah,Offer,PhD,CS,96(20),324+3.0,SE , ,  3.3/4.0, 本科Top15 211,2篇1作，1篇3作IEEE水文,15Fall,2015-01-05,美国
137,ludacriz,UIUC,Offer,PhD,CS,,,CS , PKU,  , 本科：北大，清华，科大，中科院，特色学校牛专业,,15Fall,2014-12-15,美国
138,Naruremodopris,UC Berkeley,Offer,PhD,CS,,152+170+4.0,CS , 某ivy league,  4.0/4.0, 海本,"DBMS方向，strong recommendation letters from ex-SIGMOD and VLDB chairs, 1篇SIGMOD 2nd author (submitted and rejected), 一篇 NSF Grant Proposal co-author, several posters, 三年助教",15Fall,2014-12-12,美国
139,落水狗,UMN,Offer,PhD,CS,110,160+155+4.5,CS , 清华,  , 本科：北大，清华，科大，中科院，特色学校牛专业,,15Fall,2014-12-05,美国
140,落水狗,UMN,Offer,PhD,CS,,,, ,  ,,,15Fall,2014-12-01,美国
141,vincentwizard,CS@NEU,AD无奖,MS,CS,,,, ,  , 本科Top15 211,,15Fall,2014-12-27,美国
142,gjxwin,CMU,AD无奖,MS,CS,102(27+23+23+29),157+168+3.5,通信工程 , WHU,  overall,"89.86, major",,15Fall,2014-12-14,美国
143,sumbo,MSBIC - CMU,AD无奖,MS,CS,,,Biotechnology , ,  3.7, 本科Top15 211,,15Fall,2015-01-27,美国
144,剪时光,BIC@CMU,AD无奖,MS,CS,99(23),155+167+3.5,Software Engineering , SYSU,  3.6/4, 本科Top15 211,有一个看上去有点牛逼的国家级项目（但是我没怎么干活。）和一个与医药相关的实习,15Fall,2015-01-24,美国
145,zj45499,BIC @ CMU,AD无奖,MS,CS,112,334,Automation , ,  82 3.4, 本科：北大，清华，科大，中科院，特色学校牛专业,无牛推 无实习,15Fall,2015-01-17,美国
146,么凹,Carnegie Mellon University,AD无奖,MS,CS,100,156 167 3,cs , scut,"  90/100, top 1%", 本科Top30 211,生物相关项目,15Fall,2014-12-28,美国
147,hadoopG,MSBIC@CMU,AD无奖,MS,CS,,,网工 , BUPT,  , 本科：北大，清华，科大，中科院，特色学校牛专业,,15Fall,2015-01-09,美国
148,alphard,CMU,AD无奖,MS,CS,,,计算机 , 哈工大,  major86.96，overall84, 本科Top15 211,,15Fall,2015-01-07,美国
149,Joyce5211,BIC@CMU,AD无奖,MS,CS,,,SE , NKU,  86, 本科Top15 211,,15Fall,2015-01-14,美国
150,heroic,CMU BIC,AD无奖,MS,CS,108,329+3,CS , WHU,  90/100, 本科Top15 211,无,15Fall,2014-11-20,美国
151,liqingfd,CMU,AD无奖,MS,CS,108(23),325+3,EE , FDU,  , 本科：南大，浙大，复旦，上交,,15Fall,2014-12-27,美国
152,CYCY,neu,AD无奖,MS,CS,102(23),V161 Q169 AW3.0,自动化 , ,  88, 本科Top30 211,,15Fall,2014-12-21,美国
153,rydgelee,NEU,AD无奖,MS,CS,103,320+3,CS , SHU,  88/100, 本科其他211,学校和市级比赛、项目若干/微软、创业公司实习/Cornell交流/Cornell招生老师推荐信,15Fall,2014-12-17,美国
154,brian1118,NEU,AD无奖,MS,CS,R30 L28 S23 W27 108,"V158, Q170, 4.0",電機工程 , 臺灣大學,"  3.7,  排名50%",,無牛推,15Fall,2014-12-19,美国
155,sam2015,WPI,AD无奖,MS,CS,30+25+22+24,152+168+3.5,Automation , BJTU,  90.3/100, 本科Top30 211,无,15Fall,2015-01-02,美国
156,devarenacn,Syracuse University,Rej,MS,CS,107,316,, ,  3.16/4, 本科其他211,,15Fall,2014-10-20,美国
157,Josh,USC,Rej,MS,CS,,,, ,  ,,,15Fall,2015-01-15,美国
158,zhujf553,Rice U,AD无奖,PhD,CS,102(R30 L24 S20 W28),323(V153 Q170 AW 3.0),CS , USTC,  3.8/4.3, 本科：北大，清华，科大，中科院，特色学校牛专业,,15Fall,2014-12-20,美国
159,372284362,CS@USC,AD无奖,MS,CS,28+24+23+27=102,147+170+3.5 / 150+168+3.5,ECE , SJTU,  3.75/4.00 (rank, 3/95),,15Fall,2014-11-22,美国
160,salamanderrex1,usc,AD无奖,MS,CS,103（18）,320,ECE , SJTU,  3.622, 本科：南大，浙大，复旦，上交,其实啥都没,15Fall,11/15,美国
161,zzzregister,USC,AD无奖,MS,CS,28+27+22+26=103,142+170+3.5,ECE , SJTU,  3.57/4.00 Rank 13/95, 本科：南大，浙大，复旦，上交,,15Fall,2014-12-12,美国
162,blue_shut_grab,UCSD,AD无奖,MS,CS,99(24),323(3.0),微电子 , SJTU,  , 本科：南大，浙大，复旦，上交,,15Fall,12.7,美国
163,AspirinSJL,UCSD,AD无奖,MS,CS,103(23),"159+170, 3.5",CS , 复旦,"  3.69/4.00, 5/75", 本科：南大，浙大，复旦，上交,美赛M，国奖，在MSRA水,15Fall,2014-12-04,美国
164,njshenyu,CS@UCSD,AD无奖,MS,CS,,151+168,CS , ,  3.7/4, 海本,,15Fall,2014-11-24,美国
