,GRE,TF,grad_gpa,grad_rank,username
680,310+3,93,, 本科非211,魔链老大
683,320、150、170,23、103,, 本科Top15 211,zyongbo
685,,,  3.8/4 (SYSU)  4/4(UC), 本科Top15 211,whitelez
687,320 + 3.0,,  3.68/4.00, 海本,ldf92
689,,,  3.4/4.0, 本科Top15 211,chrisVoid
693,153+168+3,94,  大概87, 本科Top30 211,fateacher
697,321+3,105,  81, 本科Top30 211,lucyjuicy
700,163+168+4.5,,  3.91/4.00, 海本,tangyuhan123
704,324,104,  3.4/4.0, 本科：北大，清华，科大，中科院，特色学校牛专业,emissary30
705,163+170+3.5,107(S22),  87.4, 本科：南大，浙大，复旦，上交,Khryl
719,,,  3.94/4.3, 本科：北大，清华，科大，中科院，特色学校牛专业,konlzp
725,"318 (V 150, Q 168)",104 (S 23),  91/100， rank top 5, 本科Top30 211,Coco_Yang
726,320,102,  87%, 本科非211,nirelle
731,160+170+3,110（22）,  87/100  26/300, 本科Top15 211,eumenides1111
733,156 + 170,91,  85, 本科其他211,Howie
734,157+170+3,105,  88.3/100 5%, 本科：北大，清华，科大，中科院，特色学校牛专业,syf921006
738,313,89,  3.17/4, 本科：南大，浙大，复旦，上交,lorabit
751,149+170+3,90,  89.9分, 本科Top30 211,zyy20853
757,152 170 3.5,105 (26 28 24 27),  3.46/4.3 (26/105), 本科：北大，清华，科大，中科院，特色学校牛专业,diligent1787
760,312,106,, 本科非211,花露水人魔
764,317,92(18),, 本科Top15 211,kiru
766,328+3,109(s22),  3.4/4.0, 本科Top15 211,BaskWind
770,151+167+3.0,97(S19),  83, 本科：北大，清华，科大，中科院，特色学校牛专业,JEC726
772,151+170+3.0,28+30+22+21,  major 3.4/minor 3.35, 本科Top15 211,ataraxian
775,148+168+3.5,98,  88,,lazino
777,152+168+3.0,26+24+26+28=104,  G, 3.75  89/100  R,桑梓地
778,158+168+3,98（S23）,  3.75,,CindyHuang
782,,,  93.15，2/93, 本科：北大，清华，科大，中科院，特色学校牛专业,Weissach
786,321+3.5,104,, 本科：南大，浙大，复旦，上交,aptaua
794,158+170+3.5,R30+L30+S19+W25,  3.85/4.0, 本科Top15 211,ghost33
800,,,  3.66, 本科：北大，清华，科大，中科院，特色学校牛专业,karanbb
802,152 167 3.5,103（20）,  3.81/4, 本科：南大，浙大，复旦，上交,jxzhuge12
804,149+170+3.0,94(18),  GPA 3.88/4.0,CUHK 3.9/4.0,hzhzchengy
813,,"S 27, 108",, 本科Top30 211,雅爷也纠结名字
830,155+168+3,95,  89/100, 本科Top30 211,风景园
831,321+3,101,  81, 本科其他211,destyfog
835,319,102,  87, 本科其他211,yhfyhf
836,149/170/3,104 (s23),  86.2, 本科：南大，浙大，复旦，上交,nienty
837,154 + 167 + 3,106 (23),  4.43/5.0 (5/198), 本科：南大，浙大，复旦，上交,韦斯特大人
838,,,  3.7, 海本,hex
840,153+170+3.5,waive,  overall3.83/4, 海本,jinfang
841,,,"  GPA90.5,TOP 2%", 本科Top30 211,vivienerwen
843,162+168+3,,  3.86/4, 海本,lanseyyu
851,325,94(s19),  88.5/100, 本科Top30 211,Dobby
853,V152 Q163 AW3.5,R30+L28+S19+W26=103,  Overall, 81.3 Major,dc_726
858,600+800,106,  3.17, 本科：北大，清华，科大，中科院，特色学校牛专业,zyc262626
859,318（V154，Q164）,98（S22）,  90GPA, 本科Top30 211,yzy123
860,319+3,96,  79, 本科Top30 211,Meile
862,,,  3.64, 本科：北大，清华，科大，中科院，特色学校牛专业,songty11
869,325（170 + 155 + 3.5）,108(29 + 28 + 23 + 28),  3.6, 本科Top15 211,ylcboy
876,158V+164Q+5,113,  3.80, 海本,sliu0915
881,149+170+3.5,29+26+22+25,  浙大算法：GPA3.70, 本科Top30 211,喜马拉雅疯子
883,153+167+3.0,95(23),  3.74/4 10%, 本科Top30 211,popandroid
886,159+170+3.5,30+30+24+30,  3.62/4.30 49/196, 本科：南大，浙大，复旦，上交,zsycn
889,145 170 3,94,  3.2/4, 本科Top15 211,kataku
901,151+165+3,100(S24),  87.22/100, 本科Top15 211,unclemoe
904,319,102(S24),  90.55/100 CS,WSU(一学期4/4),alex1256
905,149+170+3.5,94（18）,  3.4～3.5, 本科Top30 211,cicitaotao
908,315+3.0,92,  87/100, 本科非211,zachzhao
916,V 151 Q 168 AW 4,104(S 22),  3.65/4   87.76/100   排名14/247, 本科Top15 211,陌染清源
919,not required,waive,  3.6/4.3, 海本,yiqinyang2
920,,,  86/100, 本科Top15 211,butzhang
921,,,  3.4, 本科Top15 211,whiskey547
923,145+166+3.0,100(S19),  82/100排名17/28, 本科：南大，浙大，复旦，上交,jack213
924,154+170+3.5,96(18),  81/100, 本科：南大，浙大，复旦，上交,FutureCo
929,320,105,  3.6, 本科：北大，清华，科大，中科院，特色学校牛专业,fly6464
